	dataset	model	dataset_method	forget_set_size	patch_size	pretrain_iters	pretrain_lr	unlearn_method	exp_name	train_iters	k	factor	kd_T	gamma	alpha	msteps	delete_acc	delete_err	manip_acc	test_acc	manip_clean_acc	test_clean_acc	test_retain_acc	deletion_size	unlearn_time	train_clean_acc	ascLRscale	SSDdampening	selectwt
0	CIFAR100	resnet9	poisoning	500	3	6000	0.025	EU	unlearn	6000	-1						0.21	0.79	0.16	0.1292	0.682	0.6776		100	312.75086419700006	0.99548			
1	CIFAR100	resnet9	poisoning	500	3	6000	0.025	Naive	pretrainmodel								0.0	101.0	0.102	0.1681	0.66	0.6654		0	727.405588891	0.99332			
2	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	AscentLearn	unlearn	1500	5						0.11	0.89	0.108	0.109	0.724	0.7387		100	304.55953157500005	0.99702	0.01		
3	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	98	-1						0.9171428571428571	0.0	0.922	0.6398	0.616	0.644		350	111.69204499199999	0.90816		25.0	50.0
4	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	99	-1						0.1	0.9066666666666666	0.098	0.0921	0.726	0.7381		150	111.682500502	0.99698		100.0	100.0
5	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	99	-1						0.1	0.9066666666666666	0.098	0.0921	0.726	0.7381		150	112.145399492	0.99698		5000.0	1000.0
6	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	BadT	unlearn	1500	-1						0.11333333333333333	0.9022222222222223	0.108	0.0921	0.726	0.7381		450	2541.800417601	0.99698			
7	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	98	-1						0.32285714285714284	0.6771428571428572	0.336	0.2615	0.732	0.7297		350	102.831508473	0.98616		500.0	100.0
8	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	98	-1						0.017142857142857144	0.0	0.012	0.01	0.006	0.01		350	109.013832514	0.01		0.5	1.0
9	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	Scrub	unlearn	1500	-1		4		0.1	100	0.12	0.8885714285714286	0.112	0.0986	0.734	0.7393		350	1140.3705766209996	0.99716			
10	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	99	-1						0.10666666666666667	0.9	0.098	0.0934	0.726	0.7381		300	113.69227603	0.99698		50.0	500.0
11	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	99	-1						0.64	0.0	0.638	0.4738	0.42	0.4742		250	105.361590332	0.63496		5.0	50.0
12	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	CF	unlearn	1500	-1						0.02	0.98	0.12	0.0936	0.746	0.7434		50	718.292438961	0.99714			
13	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	99	-1						0.268	0.732	0.268	0.2098	0.738	0.7302		250	111.948317652	0.98674		500.0	100.0
14	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	98	-1						0.098	0.908	0.098	0.0921	0.724	0.738		500	39.655297327	0.99696		100000.0	10000.0
15	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	EU	unlearn	1500	13						0.13142857142857142	0.8571428571428571	0.148	0.152	0.696	0.6924		350	450.8531063050001	0.95446			
16	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	98	-1						0.016	0.0	0.016	0.01	0.008	0.01		500	82.839016522	0.01		0.5	0.1
17	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	99	-1						0.01	0.0	0.01	0.01	0.006	0.01		100	115.275103443	0.01		1.0	0.1
18	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	99	-1						0.975	0.0	0.98	0.7024	0.688	0.7102		200	143.67317428	0.97558		1.0	1.0
19	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	99	-1						0.1	0.9066666666666666	0.098	0.0921	0.726	0.7381		150	112.18563370999999	0.99698		250.0	50.0
20	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	99	-1						0.1	0.9066666666666666	0.098	0.0921	0.726	0.7381		150	111.737090542	0.99698		1.0	0.1
21	CIFAR100	resnetwide28x10	poisoning	500	3	6000	0.025	SSD	unlearn	99	-1						0.06	0.0	0.034	0.0261	0.022	0.0264		100	95.222172062	0.0253		10.0	1.0
